,qseqid,sseqid,qlen,slen,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
0,21-02023-01_1PB2,gb|MN826600.1|,2280,2320,97.325,2280,61,0,1,2280,8,2287,0.0,3873
1,21-02023-01_1PB2,gb|MK213329.1|,2280,2293,97.149,2280,65,0,1,2280,13,2292,0.0,3851
2,21-02023-01_1PB2,gb|CY029888.1|,2280,2307,92.061,2280,181,0,1,2280,13,2292,0.0,3208
3,21-02023-01_1PB2,gb|CY025204.1|,2280,2309,91.97399999999999,2280,183,0,1,2280,13,2292,0.0,3197
4,21-02023-01_1PB2,gb|KY320439.1|,2280,2280,90.74600000000001,2280,211,0,1,2280,1,2280,0.0,3046
5,21-02023-01_1PB2,gb|CY087767.1|,2280,2316,88.509,2280,262,0,1,2280,16,2295,0.0,2760
6,21-02023-01_1PB2,gb|CY028643.1|,2280,2307,88.426,2281,262,2,1,2280,13,2292,0.0,2748
7,21-02023-01_1PB2,gb|CY005659.1|,2280,2341,88.426,2281,262,2,1,2280,28,2307,0.0,2748
8,21-02023-01_1PB2,gb|CY028274.1|,2280,2307,88.426,2281,262,2,1,2280,13,2292,0.0,2748
9,21-02023-01_1PB2,gb|GU052298.1|,2280,2316,88.426,2281,262,2,1,2280,16,2295,0.0,2748
